CVE_MUN,GM,IM,IMN,linear Component 1,linear Component 2,rbf Component 1,rbf Component 2,cosine Component 1,cosine Component 2,sigmoid Component 1,sigmoid Component 2
20047,Bajo,55.36313447737,0.866909635629186,-0.00152986052437781,-0.032945156714368255,-0.006955131173593509,-0.01933154826251799,0.003352485070279876,-0.03358298604358523,-0.0009853190985656252,-0.04785818059455399
20048,Alto,49.1580545375327,0.769746719539363,0.03188451172007413,-0.002255515957491503,-0.01669774807725842,0.030626815398606514,0.024166659524787807,0.017612604943342804,0.03286853410410989,0.010469481495496284
20049,Alto,51.6503021314666,0.808771848335821,0.01234439385533459,0.002613363496670083,-0.014477618775772916,0.014260811809075841,0.014038879469664181,0.011258443510896884,0.011698481722393177,0.011630935544345175
20050,Alto,49.561155262575,0.776058715887964,0.023094705169850693,-0.01657039379719967,-0.029608889715844532,0.01672059957230198,0.027528031691080604,-0.0008150661337559166,0.02560804279541359,-0.020693297684990397
20051,Muy alto,44.7347354370376,0.70048369847163,0.04526560612244392,0.0011960868195335834,-0.007371362890825248,0.028991510172273884,0.02423065544980826,0.016760305488540152,0.04606943972598688,0.004965100443755034
20052,Medio,53.2211787067924,0.833369589276423,0.003336959712737056,-0.0006605062020709492,-0.007835235412004137,-0.02255706361796859,0.009174601563925048,-0.019935982908102,0.003955598867017736,-0.0006535605816284566
20053,Bajo,55.2606686539478,0.865305163438695,-0.008419010438093082,-0.00733025748693938,0.011017198765140814,-0.016659180066692852,-0.011850089911803264,-0.023893077885249078,-0.008270514406126656,-0.014459000017191652
20054,Medio,53.8866753846931,0.843790341063647,0.004690758055055336,-0.014756573308063108,-0.01445905148807121,-0.022709451517275846,0.013818397407379626,-0.021271858344085535,0.0062197379255881985,-0.012365807801629287
20055,Medio,53.631643676255,0.83979689944364,0.004581351752668,-0.018707696608915327,-0.015347191746810701,-0.02828326387360602,0.015221412180132485,-0.030834233648629365,0.006491243337807196,-0.018402238325034948
20056,Alto,51.1777475639707,0.80137230147508,0.017149794020189398,-0.004332147132376005,-0.026003574349580328,0.0038820069344652455,0.024642880060106575,0.005470319041549086,0.018790145480366723,0.0006348514900646757
