CVE_MUN,GM,IM,IMN,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 400 Component 1,Perplexity 400 Component 2
7083,Alto,51.8389002231647,0.811725031975037,19.171242,-3.2680974,11.077979,-2.8762317,8.587404,-2.9746647,6.690566,-2.7457597
7084,Alto,52.3585588020491,0.819862162098269,15.549758,-7.799499,9.843333,-0.45683372,7.002823,-3.2134278,5.5964046,-2.604916
7085,Alto,52.4575014394617,0.821411466099158,15.2977495,-8.117558,9.537037,-0.064234264,6.5537395,-3.339399,5.164926,-2.6219873
7086,Medio,54.1829143338017,0.848429030723386,-2.6984582,12.343728,-4.953978,-5.811466,-0.73804116,5.322467,-0.66276455,3.949387
7087,Alto,51.2573346789155,0.802618524931697,5.392695,10.650809,9.329395,-5.2331996,3.6775649,4.7197337,6.8556237,0.2204797
7088,Alto,51.7437643596455,0.810235336755335,12.68678,-5.230153,7.8193274,-2.038075,6.434812,-1.296138,5.1650133,-1.1006744
7089,Bajo,55.5116640419866,0.869235401898699,-28.863586,15.9798765,-19.330206,-2.134425,-11.450413,7.3777037,-8.953477,5.800838
7090,Alto,51.8493451247474,0.811888584597387,19.461866,-5.936425,11.713941,-1.8205996,8.258448,-2.9503312,6.6612563,-2.5390394
7091,Bajo,54.6305559373357,0.85543847524049,-2.2241912,11.131595,-4.5963993,-5.192062,-0.86460817,4.65409,-0.8372884,3.3355951
7092,Alto,50.649014322504,0.79309307476525,18.568998,-5.5717597,11.161821,-2.041471,8.424876,-2.666664,6.7558603,-2.282585
7093,Alto,49.8303546585047,0.780274003776557,22.746063,-6.256714,13.6610365,-2.9842334,10.460384,-3.0502114,8.357942,-2.7163844
7094,Alto,50.0047965654837,0.783005521264596,23.36829,-2.7100127,13.335943,-4.1498275,10.709213,-2.3954456,8.537096,-2.2205486
7096,Muy alto,48.3404725600387,0.756944523621499,26.494717,-2.7840161,15.085607,-5.4404893,12.135352,-2.038422,9.766665,-2.1095018
7097,Bajo,55.0724437277739,0.862357823052242,-6.6111407,10.640334,-6.513392,-3.1941614,-3.0438876,3.6391675,-2.4521182,2.6936154
7098,Alto,49.5923052604024,0.776546481501695,22.418625,-5.8641534,13.6422415,-3.1636767,10.644992,-3.042952,8.562469,-2.7688022
7099,Alto,51.782928377283,0.810848590765976,14.556721,2.4131098,7.2189064,-5.645639,7.2932405,0.94193625,6.057349,0.35778904
7100,Muy alto,47.4784672250844,0.743446719750927,21.372911,0.98398435,11.963906,-6.243075,10.594064,-0.4463531,8.702344,-0.76461774
7101,Muy bajo,58.3458969364367,0.913615544551574,-33.001297,14.460906,-21.813923,-0.19940338,-14.032136,6.725169,-11.233806,5.1833644
7102,Alto,52.2950494073419,0.818867693364799,12.615893,9.173145,4.715816,-8.947051,6.733335,4.1466312,5.7653003,3.215448
7103,Alto,52.5582458193254,0.8229889828793,11.877193,-6.08492,7.353503,-0.49144977,5.084574,-2.2397535,4.137048,-1.5514392
7104,Medio,52.9232601681887,0.828704599582718,2.8235457,5.877606,0.6399784,-5.176785,5.5111895,-1.2317066,4.144217,-1.7546113
