CVE_MUN,GM,IM,IMN,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 200 Component 3,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 300 Component 3,Perplexity 400 Component 1,Perplexity 400 Component 2,Perplexity 400 Component 3
7062,Alto,51.6489356841444,0.808750451672474,3.8683949,-1.1772105,-0.6062758,3.3298805,-0.8259148,-0.37606063,2.5043085,-0.6353863,0.4155481
7063,Medio,54.564009802543,0.85439645538359,1.7055793,-0.5081189,-3.7010474,1.5052817,0.7001136,-2.578699,0.47234422,-0.15081538,-0.24521141
7064,Muy alto,40.8340559064578,0.63940448569795,5.6791897,-2.715515,4.4895353,5.698993,-4.762032,-0.4241529,5.7102737,-3.1142287,-0.9798892
7065,Medio,52.6741669326229,0.824804146183168,0.13978408,-2.9306512,1.3526907,0.6461213,-2.1464753,0.8652895,0.7514613,-1.3747917,1.4674976
7066,Muy alto,45.4935597483737,0.712365831112003,8.335575,-3.352242,-0.15967539,6.233564,-2.3543403,2.661358,6.226821,-1.0395299,1.5419874
7067,Alto,49.7245203468974,0.778616785749097,7.05571,-3.0429823,0.051843278,5.8100786,-1.5958692,1.7977428,4.833645,-0.8417853,2.10643
7068,Medio,53.8688979626885,0.843511971376347,-0.90148914,-1.9732611,1.8016554,-0.37711543,-1.8703047,0.7928909,-0.3994034,-0.9807038,1.4196893
7069,Alto,52.2159881034543,0.817629703377551,1.8388653,-0.7929321,3.0673654,2.0478573,-3.3670754,-0.70027393,3.3096347,-1.747957,-2.2739937
7070,Medio,52.9851964072576,0.829674434888293,3.7425518,-1.0241381,-1.4198738,3.367791,-0.24946153,-0.9153744,1.9779134,0.013558898,0.80571264
7071,Alto,52.1712242149923,0.816928763183282,1.2076434,-1.9981867,2.0788906,1.5796615,-2.1988382,0.40722293,1.3896383,-1.1695291,1.136572
7072,Alto,50.3948368506767,0.789113009301705,6.674836,-3.550071,-0.08649557,5.377016,-2.1555161,2.1365752,4.4960704,-1.1095066,2.3188066
7073,Alto,51.4744684222445,0.806018537161661,1.154527,-3.0117304,2.6670957,1.4715,-2.7561376,1.4906516,1.4361471,-1.6257509,2.302986
7074,Bajo,56.2836431212427,0.881323519896874,-3.822499,-1.4789803,1.9089617,-3.321014,-1.5034913,0.70479697,-3.1774008,-0.4819241,1.4323218
7075,Alto,50.0594556971995,0.783861407196758,4.436571,-3.2346566,2.3168106,4.76886,-3.6036973,1.4957703,5.0953584,-2.3792074,0.2911476
7076,Alto,48.9361378462015,0.766271813000236,6.675196,-2.9606009,0.9692536,5.7608743,-2.1481342,1.2848018,4.8687735,-1.4370193,1.3907644
7077,Muy alto,48.0926829231702,0.753064482763297,6.1279573,-3.7001529,-0.091617614,5.273022,-2.3739512,1.7943627,4.43067,-1.5846925,1.433531
7078,Bajo,55.8329040362097,0.874265573130339,-3.8922954,-0.33211276,2.8688414,-4.325289,-1.9407728,0.025549747,-3.7630377,-0.38151476,2.2048945
7079,Medio,53.246705867343,0.833769309083845,0.57944554,-2.2784736,2.0118098,1.1765978,-1.9109882,0.7496425,0.9672697,-0.87351114,1.3265176
7080,Alto,50.8504760253906,0.796247684653064,5.681266,-2.538405,-0.9192412,4.4224114,-1.3602693,1.255992,3.6611807,-0.60293484,1.700658
